,Title,Author,Release date,Price $
454,Children of Time,Adrian Tchaikovsky,05-02-17,22
455,"Boundaries, Updated and Expanded Edition",John Townsend,02-13-18,17
456,Eragon,Christopher Paolini,10-16-03,17
457,Empath And Narcissist,Lisa Kennedy,01-31-23,30
458,Mike Busch on Engines,Mike Busch,02-23-23,25
459,All My Knotted-Up Life,Beth Moore,02-21-23,15
460,Birnam Wood,Eleanor Catton,03-07-23,25
461,The Accidental Contract,Kos Play,05-15-23,25
462,Final Day,Richard D. Wiles,05-09-23,25
463,Timeborne,Sara Samuels,05-02-23,25
464,Clive Cussler Fire Strike,Mike Maden,06-06-23,32
465,Wraith King: The Complete Series,Jack Porter,05-15-23,30
466,An American Beauty,Shana Abe,04-25-23,21
467,To Kill a Mockingbird,Harper Lee,07-08-14,20
468,The Hitchhiker's Guide to the Galaxy,Douglas Adams,04-28-05,14
469,The Five Dysfunctions of a Team,Patrick Lencioni,10-18-02,14
470,Manhandled,L. Blakely,05-10-23,20
471,Shoe Dog,Phil Knight,04-26-16,18
472,Profit First,Mike Michalowicz,02-21-17,18
473,I Have Some Questions for You,Rebecca Makkai,02-21-23,32
474,Children of Time,Adrian Tchaikovsky,05-02-17,22
475,"Boundaries, Updated and Expanded Edition",John Townsend,02-13-18,17
476,Eragon,Christopher Paolini,10-16-03,17
477,Empath And Narcissist,Lisa Kennedy,01-31-23,30
478,Mike Busch on Engines,Mike Busch,02-23-23,25
479,All My Knotted-Up Life,Beth Moore,02-21-23,15
480,Paris,Paris Hilton,03-14-23,32
481,Water Borne,Octavia Randolph,03-21-23,25
482,Start with Why,Simon Sinek,09-05-17,15
483,The Duke and I,Julia Quinn,09-13-16,28
484,The Greatest Song,Kevin Griffin,04-25-23,20
485,The Subtle Art of Not Giving a F*ck,Mark Manson,09-13-16,18
486,The Captain,Will Wight,04-04-23,35
487,The Undertow,Jeff Sharlet,05-02-23,25
488,Johnson at 10,Anthony Seldon,05-04-23,17
489,A Gentleman in Moscow,Amor Towles,09-06-16,19
